ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2011,5/21/2011,1,Estádio Governador Plácido Castelo,Jailson Macedo Freitas,9422.0,,ceará sc,vasco da gama,,,17.0,3.0,,,,,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,fora,
2011,5/29/2011,2,Estádio São Januário,Franscisco Carlos do Nascimento,4495.0,,vasco da gama,américa-mg,,,3.0,6.0,,,,,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,6/5/2011,3,Estádio Major Antônio Couto Pereira,Celio Amorim,18554.0,,coritiba fc,vasco da gama,,,18.0,2.0,,,,,5.0,1.0,4.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2011,6/11/2011,4,Estádio São Januário,Luiz Flávio de Oliveira,17777.0,,vasco da gama,figueirense fc,,,7.0,6.0,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2011,6/19/2011,5,Estádio Olímpico Monumental,André Luiz de Freitas Castro,13840.0,,grêmio,vasco da gama,,,10.0,7.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2011,6/29/2011,7,Estádio São Januário,Arilson Bispo da Anunciação,7695.0,,vasco da gama,cruzeiro,,,5.0,16.0,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,derrota,casa,
2011,7/9/2011,9,Estádio São Januário,Jailson Macedo Freitas,8731.0,,vasco da gama,internacional,,,11.0,3.0,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,7/31/2011,13,Estádio Cícero Pompeu de Toledo,Paulo Henrique de Godoy Bezerra,23309.0,,são paulo,vasco da gama,,,2.0,5.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,fora,
2011,8/3/2011,14,Estádio São Januário,Héber Lopes,17118.0,,vasco da gama,santos fc,,,5.0,15.0,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,8/7/2011,15,Estádio Olímpico Nilton Santos,Marcelo de Lima Henrique,26283.0,,botafogo,vasco da gama,,,6.0,4.0,,,,,4.0,0.0,3.0,0.0,,,,,,,,,,,,,,,derrota,fora,
